,동-연번,상세위치,도로명주소,위도,경도
0,후암동-1,행남팰리스 앞 상업지역 및 골목길 4거리 ,서울특별시 용산구 두텁바위로1길107,0.0,0.0
1,후암동-2,백합빌라 앞 도로변 및 쓰레기 수거지역,서울특별시 용산구 후암로13가길22,0.0,0.0
2,후암동-3,에지앙 담장 전신주 옆,서울특별시 용산구 후암로28길 57,37.5493349,126.9796602
3,후암동-4,후암시장(구 풍년순댓국 앞) 골목4거리 ,서울특별시 용산구 한강대로104길 67,37.5503292,126.9736779
4,후암동-5,지월장 옆 전신주,서울특별시 용산구 후암로4길25,0.0,0.0
5,후암동-6,거주자주차구역 전신주 옆 ? ,서울특별시 용산구 후암로40길3,0.0,0.0
6,후암동-7,파크빌 앞 전신주 옆,서울특별시 용산구 후암로34길 11,37.5520538,126.9785436
7,후암동-8,용산더힐 빌라 앞 전신주 옆,서울특별시 용산구 후암로16길 15,37.5484425,126.9791295
8,후암동-9,골목길 삼거리 전신주,서울특별시 용산구 두텁바위로37길 13,37.5476121,126.9810748
9,후암동-10,좁은골목길 전신주 옆,서울특별시 용산구 소월로2나길 19,37.5538669,126.9773942
10,후암동-11,남일상회 앞 골목길구석,서울특별시 용산구 두텁바위로38길 34,37.5471638,126.9828822
11,후암동-12,맞은편 새말교 도로변,서울특별시 용산구 두텁바위로116,0.0,0.0
12,후암동-13,도로변,서울특별시 용산구 두텁바위로113,0.0,0.0
13,후암동-14,윗편 도닥다리 도로변,서울특별시 용산구 두텁바위로104,0.0,0.0
14,후암동-15,동성한의원 옆 건물,서울특별시 용산구 후암로 66,37.5541994,126.9727301
15,후암동-16,백합의원 앞,서울특별시 용산구 후암로35,0.0,0.0
16,후암동-17,푸른약국 앞,서울특별시 용산구 후암로 41,37.5541994,126.9727301
17,후암동-18,타워빌 옆 공터,서울특별시 용산구 후암로5길 5,37.5464717,126.9776296
18,후암동-19,장우오피스텔 입구 옆,서울특별시 용산구 두텁바위로58길 7-6,37.5483943,126.9836511
19,후암동-20,골목길 공터,서울특별시 용산구 한강대로98다길 17,37.547912,126.9740554
20,후암동-21,한아름빌리지 주차장 입구 맞은편,서울특별시 용산구 한강대로102다길 31-7,37.5485765,126.9747528
21,용산2가동-1,"해오름빌 후문 담장앞, 전신주옆,  주거밀집 지역",서울특별시 용산구 신흥로22길 15,37.546124,126.983658
22,용산2가동-2,"옆 남산교회 뒤 전신주옆,  주거밀집 지역",서울특별시 용산구 소월로26길 17,37.5457306,126.9872261
23,용산2가동-3,맞은편 녹지대 주거밀집 지역,서울특별시 용산구 녹사평대로 60길,0.0,0.0
24,용산2가동-4,"남산3호터널 지하보도입구 옆, 담장 앞, 주거 상업밀집 지역",서울특별시 용산구 신흥로12길7,0.0,0.0
25,용산2가동-5,하임빌 맞은편 주거밀집지역,서울특별시 용산구 신흥로9길 15-11,37.5425946,126.9872037
26,용산2가동-6,"동부세탁소 옆 전신주옆,  주거밀집 지역",서울특별시 용산구 신흥로22가길 27,37.54595665,126.9827688304868
27,용산2가동-7,"동광빌라 앞 전신주옆,  주거밀집 지역",서울특별시 용산구 용산구 신흥로,37.5466133,126.9811628
28,용산2가동-8,신흥교회 뒤편 담장 주거밀집지역,서울특별시 용산구 신흥로120,0.0,0.0
29,용산2가동-9,"맞은편 신흥경로당 뒤 담장 앞, 주거밀집지역",서울특별시 용산구 신흥로25가길 4-2,0.0,0.0
30,용산2가동-10,"대지부동산 옆 담장 앞, 주거밀집지역",서울특별시 용산구 신흥로140,0.0,0.0
31,용산2가동-11,맞은편 용암한신아파트 화단 상업지역,서울특별시 용산구 신흥로45,0.0,0.0
32,용산2가동-12,"맞은편 11통입구 화단 앞, 주거밀집역",서울특별시 용산구 소월로30길 31,37.5456586,126.9882191
33,용산2가동-13,"복된부동산 옆 담장 앞, 주거밀집지역",서울특별시 용산구 신흥로20길19,0.0,0.0
34,용산2가동-14,"원우빌리지 앞 전신주옆,  경사지, 주거밀집 지역",서울특별시 용산구 신흥로3길 27,37.5416539,126.985749
35,용산2가동-15,"주거밀집지역, 좁은골목지역",서울특별시 용산구 신흥로25가길 14,0.0,0.0
36,용산2가동-16,주거밀집지역,서울특별시 용산구 신흥로30길 12,37.5450014,126.9822648
37,용산2가동-17,"전신주옆, 담장 앞, 주거밀집지역, 외국인다수거주",서울특별시 용산구 신흥로3가길 38,37.5416451,126.9847916
38,용산2가동-18,"신흥로 옆, 주거 상업밀집지역",서울특별시 용산구 신흥로60,0.0,0.0
39,용산2가동-19,"담장앞, 전신주옆, 주거밀집지역",서울특별시 용산구 신흥로7길 19-11,37.5431961,126.9860101
40,용산2가동-20,"담장앞, 주거밀집지역",서울특별시 용산구 신흥로11나길 2-4,37.543774,126.9854414
41,용산2가동-21,"담장앞, 주거밀집지역",서울특별시 용산구 신흥로125,0.0,0.0
42,용산2가동-22,"전신주옆, 주거밀집지역",서울특별시 용산구 신흥로3나길 19-3,37.5418777,126.9850308
43,용산2가동-23,"담장앞, 전신주옆,  주거밀집 지역",서울특별시 용산구 신흥로15길 18-8,37.5441967,126.9858304
44,용산2가동-24,주거상업 밀집지역,서울특별시 용산구 소월로20길 37,37.543801,126.9842598
45,용산2가동-25,"담장앞, 경사지, 주거상업밀집지역",서울특별시 용산구 소월로20길 60,37.543801,126.9842598
46,용산2가동-26,"담장옆, 주거밀집지역",서울특별시 용산구 신흥로3가길 36,37.5416451,126.9847916
47,용산2가동-27,"경사지, 주거밀집지역",서울특별시 용산구 소월로30길 14,37.5456586,126.9882191
48,용산2가동-28,"전신주옆, 주거상업밀집지역",서울특별시 용산구 신흥로82,0.0,0.0
49,용산2가동-29,주거상업밀집지역,서울특별시 용산구 신흥로9길 21,37.5425946,126.9872037
50,용산2가동-30,상업밀집지역,서울특별시 용산구 신흥로35,0.0,0.0
51,남영동-1,쓰레기 수거 거점지역,서울특별시 용산구 한강대로88길 6(남영동,0.0,0.0
52,남영동-2,쓰레기 수거 거점지역,서울특별시 용산구 한강대로80길 11-17(남영동,0.0,0.0
53,남영동-3,쓰레기 수거 거점지역,서울특별시 용산구 한강대로76길 18(남영동,0.0,0.0
54,남영동-4,전주,서울특별시 용산구 두텁바위로5길 3,37.5461285,126.9732033
55,남영동-5,서부약국옆,서울특별시 용산구 한강대로 293(갈월동,0.0,0.0
56,남영동-6,쓰레기 수거 거점지역,서울특별시 용산구 한강대로92길 20(갈월동,0.0,0.0
57,남영동-7,쓰레기 수거 거점지역,서울특별시 용산구 한강대로96길 20-12(갈월동,0.0,0.0
58,남영동-8,전주,서울특별시 용산구 한강대로96길 12(갈월동,0.0,0.0
59,남영동-9,전주,서울특별시 용산구 한강대로98가길 12(갈월동,0.0,0.0
60,남영동-10,전주,서울특별시 용산구 한강대로100길 13(갈월동,0.0,0.0
61,남영동-11,쓰레기 수거 거점지역,서울특별시 용산구 한강대로104가길 4(동자동,0.0,0.0
62,남영동-12,쓰레기 수거 거점지역,서울특별시 용산구 한강대로104길 35(동자동,0.0,0.0
63,남영동-13,전주,서울특별시 용산구 한강대로104길 51(동자동,0.0,0.0
64,남영동-14,쓰레기 수거 거점지역,서울특별시 용산구 한강대로104마길 43(동자동,0.0,0.0
65,남영동-15,쓰레기 수거 거점지역,서울특별시 용산구 후암로57길 17-24(동자동,0.0,0.0
66,남영동-16,전주,서울특별시 용산구 후암로49길 24(동자동,0.0,0.0
67,남영동-17,쓰레기 수거 거점지역,서울특별시 용산구 후암로57길 26,37.5520599,126.9740189
68,남영동-18,쓰레기 수거 거점지역,서울특별시 용산구 후암로 91-20(동자동,0.0,0.0
69,남영동-19,쓰레기 수거 거점지역,서울특별시 용산구 후암로 91-1,37.5541994,126.9727301
70,남영동-20,전주,서울특별시 용산구 두텁바위로13(갈월동53-19),0.0,0.0
71,남영동-21,지하철 굴다리,서울특별시 용산구 한강대로87길11(갈월동69-68),0.0,0.0
72,남영동-22,전주,서울특별시 용산구 한강대로84길11-29(남영동30-2),0.0,0.0
73,남영동-23,쓰레기 거점지역,서울특별시 용산구 한강대로388(동자동14-19 서울역12번출구),0.0,0.0
74,남영동-24,쓰레기 거점지역,서울특별시 용산구 후암로57길55(동자동35-14),0.0,0.0
75,청파동-1,인근 골목 쓰레기 수거 거점지역,서울특별시 용산구 만리재로36길 9,37.5537064,126.9671313
76,청파동-2,"전신주 옆, 주거밀집지역",서울특별시 용산구 청파로89길 35,37.5529369,126.9667801
77,청파동-3,좁은 언덕길 입구,서울특별시 용산구 청파로73길 91,37.5503893,126.9680919
78,청파동-4,주거밀집지역 골목길 및 계단길 초입,서울특별시 용산구 청파로73길 62,37.5503893,126.9680919
79,청파동-5,"전봇대, 대로변, 골목길 입구",서울특별시 용산구 청파로 349,37.5315648,126.9546494
80,청파동-6,주거밀집지역 골목길 및 계단길 초입,서울특별시 용산구 만리재로24길 19-4,37.5524232,126.9636704
81,청파동-7,"전봇대, 쓰레기 수거 거점지역, 골목길, 언덕길",서울특별시 용산구 효창원로104길 25,37.5504993,126.9650887
82,청파동-8,"쓰레기 수거 거점지역, 골목길",서울특별시 용산구 청파로73길 25,37.5503893,126.9680919
83,청파동-9,빌라 밀집지역,서울특별시 용산구 청파로71길 23,37.5497292,126.9681029
84,청파동-10,"쓰레기 수거 거점지역, 골목길",서울특별시 용산구 효창원로94길 15,37.548234,126.9643135
85,청파동-11,"쓰레기 수거 거점지역, 골목길",서울특별시 용산구 효창원로94길 21,37.548234,126.9643135
86,청파동-12,"쓰레기 수거 거점지역, 골목길",서울특별시 용산구 효창원로94길 27,37.548234,126.9643135
87,청파동-13,"쓰레기 수거 거점지역, 골목길",서울특별시 용산구 청파로47나길 72,37.5470604,126.9678845
88,청파동-14,"쓰레기 수거 거점지역, 골목길 초입, 주거밀집지역",서울특별시 용산구 효창원로104마길 11,37.5498597,126.9649591
89,청파동-15,"주거밀집지역, 골목길, 담장, 전신주",서울특별시 용산구 효창원로98길 19,37.5490478,126.9647237
90,청파동-16,"주거밀집지역, 골목길",서울특별시 용산구 효창원로86다길 15,37.5488445,126.9654686
91,청파동-17,"헌옷수거함, 주거밀집지역, 골목길",서울특별시 용산구 청파로47나길 32,37.5470604,126.9678845
92,청파동-18,"헌옷수거함, 주거밀집지역, 골목길",서울특별시 용산구 청파로47나길 20,37.5470604,126.9678845
93,청파동-19,대로변 골목길 초입,서울특별시 용산구 청파로4다길 4-4,0.0,0.0
94,청파동-20,대로변 골목길 초입,서울특별시 용산구 청파로43다길 29,37.5423527,126.9689181
95,청파동-21,"대로변 골목길 초입, 전봇대 옆 나대지",서울특별시 용산구 청파로43가길 10,37.5438115,126.9692119
96,청파동-22,인근 골목 쓰레기 수거 거점지역,서울특별시 용산구 청파로73길 78,37.5503893,126.9680919
97,청파동-23,인근 골목 쓰레기 수거 거점지역,서울특별시 용산구 청파로85길 33,37.5526338,126.9672419
98,청파동-24,인근 골목 쓰레기 수거 거점지역,서울특별시 용산구 청파로85길 68,37.5526338,126.9672419
99,청파동-25,인근 골목 쓰레기 수거 거점지역,서울특별시 용산구 청파로 373,37.5315648,126.9546494
100,청파동-26,인근 골목 쓰레기 수거 거점지역,서울특별시 용산구 효창원로104길 13,37.5504993,126.9650887
101,청파동-27,인근 골목 쓰레기 수거 거점지역,서울특별시 용산구 만리재로24길 19-4,37.5524232,126.9636704
102,청파동-28,주거밀집지역 골목길 및 계단길 초입,서울특별시 용산구 효창원로104라길 24,37.5508652,126.9656151
103,청파동-29,인근 골목 쓰레기 수거 거점지역,서울특별시 용산구 청파로71길 52,37.5497292,126.9681029
104,청파동-30,인근 골목 쓰레기 수거 거점지역,서울특별시 용산구 청파로71길 29-12,37.5497292,126.9681029
105,청파동-31,인근 골목 쓰레기 수거 거점지역,서울특별시 용산구 청파로71나길 23,37.5486148,126.9677586
106,청파동-32,"주거밀집지역, 골목길",서울특별시 용산구 청파로57길 12-8,37.5468894,126.9691048
107,청파동-33,"대로변 골목길 초입, 전봇대 옆 ",서울특별시 용산구 청파로73다길 2,0.0,0.0
108,원효1동-1,상업지역,서울특별시 용산구 원효로56길 38,37.5342563,126.9631696
109,원효1동-2,쓰레기수거 거점지역,서울특별시 용산구 원효로77길 30,37.5390826,126.9656121
110,원효1동-3,골목 나대지,서울특별시 용산구 원효로97길 3,37.5425943,126.9686039
111,원효1동-4,골목 나대지,서울특별시 용산구 원효로89길 23,37.5402237,126.9681025
112,원효1동-5,골목 나대지,서울특별시 용산구 백범로77길 52,37.538527,126.9642124
113,원효1동-6,골목 나대지,서울특별시 용산구 원효로77길 32,37.5390826,126.9656121
114,원효1동-7,쓰레기수거 거점지역,서울특별시 용산구 원효로 227,37.5358175,126.962537
115,원효1동-8,골목 나대지,서울특별시 용산구 원효로71길 11,37.5382047,126.962996
116,원효1동-9,대로변,서울특별시 용산구 원효로 197-2,37.5358175,126.962537
117,원효1동-10,대로변,서울특별시 용산구 원효로 189-3,37.5358175,126.962537
118,원효1동-11,골목 나대지,서울특별시 용산구 원효로53길 9,37.5368062,126.9620418
119,원효1동-12,골목 나대지,서울특별시 용산구 청파로139-9,0.0,0.0
120,원효1동-13,골목 나대지,서울특별시 용산구 새창로45길 49,37.5349058,126.9645147
121,원효1동-14,이면도로 나대지,서울특별시 용산구 백범로77길 52,37.538527,126.9642124
122,원효1동-15,대로변,서울특별시 용산구 문배동 24-35,37.5367,126.96818
123,원효1동-16,이면도로 나대지,서울특별시 용산구 새창로45길 53,37.5349058,126.9645147
124,원효1동-17,이면도로 나대지,서울특별시 용산구 새창로45길 64,37.5349058,126.9645147
125,원효1동-18,버스정류장 인근 이면도로 초입,서울특별시 용산구 새창로146,0.0,0.0
126,원효1동-19,"관리사각지대(하천, 주차장 부지)",서울특별시 용산구 신계동23-16,0.0,0.0
127,원효로2동-1,"단독주택, 빌라 밀집 지역",서울특별시 용산구 효창원로 48-1,37.538939,126.9612671
128,원효로2동-2,"단독주택, 빌라 밀집 지역",서울특별시 용산구 원효로35길 29,37.5349488,126.9556765
129,원효로2동-3,,서울특별시 용산구 원효로41길 3,37.535986,126.9599579
130,원효로2동-4,상가 옆 골목 화단,서울특별시 용산구 원효로41길 15,37.535986,126.9599579
131,원효로2동-5,성심여고 벽화 전봇대 옆,서울특별시 용산구 원효로19길 59,37.533579,126.9572136
132,원효로2동-6,학원 옆 전봇대,서울특별시 용산구 효창원로 30,37.538939,126.9612671
133,원효로2동-7,녹지대,서울특별시 용산구 효창원로 28,37.538939,126.9612671
134,원효로2동-8,"단독주택, 빌라 밀집 지역",서울특별시 용산구 원효로19길 78,37.533579,126.9572136
135,원효로2동-9,상가 밀집 지역,서울특별시 용산구 원효로3가 1-160,37.53427,126.9578
136,원효로2동-10,"단독주택, 빌라 밀집 지역",서울특별시 용산구 효창원로23길 5,37.5360875,126.9548926
137,원효로2동-11,"단독주택, 빌라 밀집 지역",서울특별시 용산구 효창원로12길 42,37.5387485,126.9587269
138,효창동-1,도로변 버스정류장 앞,서울특별시 용산구 임정로 35,37.5467754,126.9622408
139,효창동-2,"주택밀집지역, 출입구 앞",서울특별시 용산구 임정로 13길,0.0,0.0
140,효창동-3,노후주택밀집지역,서울특별시 용산구 백범로 47길,0.0,0.0
141,효창동-4,나대지 앞 전신주,서울특별시 용산구 백범로 47길,0.0,0.0
142,효창동-5,"주택밀집지역, 전신주 옆",서울특별시 용산구 효창원로 146-20,37.538939,126.9612671
143,효창동-6,"주택밀집지역, 전신주 옆",서울특별시 용산구 백범로51길 26-7,37.5407275,126.9598659
144,효창동-7,"주택밀집지역, 주변 주택가 쓰레기 버리는 곳",서울특별시 용산구 효창원로 145-19,37.538939,126.9612671
145,용문동-1,"전신주옆, 도로변, 쓰레기 수거 거점지역",서울특별시 용산구 효창원로55길 15,37.5387506,126.9603329
146,용문동-2,"전신주옆, 도로변, 쓰레기 수거 거점지역",서울특별시 용산구 효창원로42길 38-14,37.5365675,126.959576
147,용문동-3,전신주옆,서울특별시 용산구 새창로 115-7,37.5326697,126.9639945
148,용문동-4,"좁은 도로, 아파트단지 인근, 재정비 지구, 주택가 ",서울특별시 용산구 효창원로 88,37.538939,126.9612671
149,용문동-5,"좁고 외진 골목, 주택가, 전신주",서울특별시 용산구 새창로 105,37.5298239,126.9677662
150,한강로동-1,,서울특별시 용산구 한강대로40길 118,37.5304314,126.9706468
151,한강로동-2,,서울특별시 용산구 한강대로46길 17-4,37.5310512,126.9712177
152,한강로동-3,,서울특별시 용산구 한강대로52길 17-9,37.5324188,126.9731354
153,한강로동-4,,서울특별시 용산구 한강대로52길 38,37.5324188,126.9731354
154,한강로동-5,,서울특별시 용산구 한강대로62길 75,37.5327854,126.9735417
155,한강로동-6,주차장 입구,서울특별시 용산구 한강대로62길 55,37.5327854,126.9735417
